City,Label
Waite Park,2402
Campbell,330
Hawaiian Gardens,975
Safford,2000
Mora,1489
Mystic,1538
Missoula,1463
Rexburg,1914
Aransas Pass,70
DUNN,528
Sneads Ferry,2132
Havre,974
Anchorage,54
Hawthorne,976
Port Charlotte,1832
Higginsville,1003
Greencastle,911
Midland,1436
NORMAN,1549
Taylorville,2280
Toledo,2309
Pottsville,1846
Chehalis,394
Longs,1282
Cullman,512
Las cruces,1201
Dickinson,580
Farmington Hills,735
Fond du Lac,763
Quincy,1868
THOUSAND OAKS,2261
Dalhart,531
Deming,566
Hillsdale,1011
West Mifflin,2473
St Cloud,2187
CARLSBAD,306
Blue Springs,205
Carrolton,350
McKenna,1388
KAHULUI,1099
Skyesville,2126
Galesburg,833
Liberty Lake,1238
Hodgkins,1017
Jasper,1083
AURORA,2
Ogden,1691
Brattleboro,239
Johnstown,1092
Tappahannock,2275
Comstock,466
Bennington,165
Jarrettsville,1082
Morganton,1494
Orangburg,1709
Fairhaven,720
Glendale Heights,868
Ferriday,743
Carthage,354
Washington,2427
Nevada,1573
Valley Stream,2361
Martinsville,1369
Evansville,703
Coconut Creek,445
Vicksburg,2374
Corvallis,487
Lake Bluff,1171
Flemingsburg,752
Mt Pleasant,1520
Tomball,2310
Heber Springs,985
Walla Walla,2408
Fort Walton Beach,784
Abbeville,5
Defiance,557
Detroit,577
Collins,453
Okmulgee,1696
Coeur d'Alene,446
Wrightsville,2563
Guthrie,933
Natchez,1561
Ashburn,81
Liberal,1236
Smithfield,2128
Albertville,26
Rockwood,1955
ONTARIO,1671
Federal Way,738
Macomb,1320
Buda,281
Brevard,246
Claremore,428
Cedar City,368
Amsterdam,51
Bartlett,125
Lake Charles,1173
Winnemucca,2536
Shakopee,2093
Texarkana,2290
Vernon,2370
Baytown,137
Mount Airy,1507
Staunton,2211
Marshall,1364
San Leandro,2039
Dunkirk,609
Butte,304
Glenside,871
Show Low,2108
Rockville Centre,1953
Hopkinsville,1032
Carson City,352
Harvey,968
Sierra Vista,2113
Helena,986
Charlottesville,389
Dade City,529
Mount Vernon,1515
Lucedale,1295
La Quinta,1162
phoenix,2595
Ledgewood,1216
Warren,2417
Lake Elsinore,1176
Wickenburg,2514
Hemingway,989
Elko,668
Margate,1351
Milton,1449
Brighton,255
DeRidder,551
Ringgold,1928
Prattville,1849
Dyersburg,615
East Greenwich,623
Acton,9
Cranbury,497
DICKSON,526
SAN JOSE,1980
Hamilton,948
Hamburg,947
Banning,120
Monticello,1481
Perrysburg,1792
Bluefield,206
Crittenden,505
Sealy,2079
Yerington,2569
Acworth,10
Alto,39
Novi,1666
Montross,1484
Haines CIty,944
Loxley,1293
Hicksville,1002
MIDLAND,1313
Mayfield,1381
Cedar Park,373
Murrieta,1533
SEYMOUR,1985
Southern Pines,2162
Middlebury,1432
Dinuba,583
Morrison,1496
Richland,1920
Brewton,248
Blackshear,190
Collierville,452
Overland Park,1730
Sauk City,2064
ROCHESTER,1878
Grand Blanc,888
Jennings,1087
Canyon Country,338
Wausau,2443
Crestview,501
Waipahu,2400
Swansboro,2251
Sandwich,2047
Ellensburg,670
Urbandale,2352
Oakhurst,1682
Folsom,761
Devils Lake,578
Marlette,1358
Hibbing,999
Rincon,1927
Peru,1794
Beresford,170
Statesboro,2209
Arkadelphia,75
Findlay,746
Manhattan,1338
Sault Sainte Marie,2066
Ottumwa,1729
NAPERVILLE,1544
Alvin,42
Great Falls,901
Greer,922
Stoughton,2224
Bunker Hill,290
West Columbia,2468
Rapid City,1891
Levittown,1230
Wallace,2409
Mc Allen,1383
Bedford Hills,146
Finksburg,747
Wexford,2498
Biloxi,187
Murrysville,1534
Greenwood Village,921
Opelika,1707
Kearney,1112
Villa Rica,2380
Bozeman,229
Scottsboro,2075
Spearfish,2168
Cabot,317
Fallon,726
Ocoee,1688
Fort Kent,775
Greenbelt,910
Canyon,337
Hinton,1016
YUKON,2566
New Rochelle,1592
Waveland,2445
Spencer,2169
Fairview Heights,723
Marble Falls,1349
Corry,483
Robstown,1940
Turlock,2333
Tigard,2302
Blenheim,197
salt lake,2596
Edgefield,641
Bonita Springs,215
Wasilla,2429
Durango,612
Burkburnet,293
Glen Allen,860
Harlingen,959
Starke,2206
Glenwood Springs,873
Keene,1114
Scranton,2077
Minneola,1455
Manheim,1339
Evans,701
Vineland,2382
Mansfield,1343
Camp Springs,328
Wood River,2546
East Hanover,624
Belle Plaine,153
Renville,1912
Ansonia,63
Sagle,2001
Gardner,842
Bayshore,135
Sedalia,2084
Rock Springs,1945
South Gate,2147
Crawfordsville,499
Ada,11
Swainsboro,2248
Springville,2183
Lake City,1174
West,2459
Morehead City,1491
Lufkin,1297
Fort Gratiot,774
Clarksdale,430
Boaz,209
San Deigo,2032
Urbana,2351
Cadiz,318
Tupelo,2332
Michigan Center,1427
Whitefish,2508
Deland,559
Imlay City,1059
Ferndale,741
Schoolcraft,2073
Lexington Park,1235
Saint Robert,2014
Lutherville Timonium,1302
West Valley,2483
Buffalo,286
Castroville,363
Ft. Walton Beach,818
Opelousas,1708
Rifle,1926
Wilkesboro,2517
Fergus Falls,740
Fox Lake,792
Tahlequah,2267
BIXBY,104
Bonham,214
Forest,765
Woodland,2553
Stone Mountain,2219
Talladega,2268
Goodlettsville,881
Amesbury,47
Price,1851
Rolla,1958
Vista,2388
Palm Springs,1760
BEAUMONT,101
Glen Mills,866
Marlow Heights,1359
Thatcher,2292
Manvel,1345
D'Iberville,518
Eagle River,619
Zionsville,2589
Keyport,1128
Greensburg,916
Arroyo Grande,79
Harlan,958
Ft. Collins,814
Tilton,2303
Swansea,2252
Pascagoula,1774
kansas city,2593
Warroad,2422
Paoli,1767
Minooka,1457
Red Bank,1899
Greeneville,912
Budd Lake,282
Venice,2368
Beloit,161
Brookhaven,264
Fleetwood,751
Kaufman,1110
Burkburnett,294
Kosciusko,1146
Elverson,679
Yakima,2567
Warsaw,2423
Breaux Bridge,242
Liberty,1237
Ft. Pierce,817
Swannanoa,2250
Kenly,1118
Plattsmouth,1817
Mukwonago,1527
Ortonville,1722
Gambrils,837
Creve Coeur,504
Griffin,926
Newberg,1597
Brigham City,254
Grandville,894
Wayne,2448
Wooster,2560
JANESVILLE,1077
Stroudsburg,2230
Waycross,2446
Port Arthur,1831
Bonner Springs,216
Burley,296
Emporia,684
Neptune City,1571
Marysville,1370
Quakertown,1864
Inglewood,1066
Canfield,334
Americus,46
Bossier City,218
Cheboygan,392
Lake Hopatcong,1179
NORTH BRUNSWICK,1550
Green Cove Springs,907
Palmer,1762
Depew,571
Keizer,1115
Huntington,1043
Maple Heights,1346
Portage,1839
Kitty Hawk,1141
Cape Coral,339
Fowlerville,791
Auburn Hills,90
OMAHA,1670
Hayden,977
Mathis,1375
Shawnee,2096
PERRYVILLE,1741
Aberdeen,6
Oxford,1734
Brazil,240
Timonium,2304
Mattoon,1378
Terrell,2287
Taylorsville,2279
COSTA MESA,315
Morehead,1490
DOTHAN,527
Crosby,506
Osage City,1724
Lake CIty,1172
Elkhart,667
Country Club Hills,492
Bourbonnais,223
Teterboro,2288
Cedar Knolls,371
Sacremento,1998
SARASOTA,1981
Millville,1448
Colville,463
Fort Payne,779
Tucker,2326
Waukegean,2440
Mt. Pocono,1524
Monmouth,1471
Manor,1342
Oskaloosa,1725
Harrison,963
Brownsburg,273
Chillocothe,414
Rocky Mount,1956
Frankenmuth,794
Brockport,257
Mt. Vernon,1526
Snelville,2134
Amherst,48
Spanish Fork,2165
SHEFFIELD,1987
SAUGERTIES,1982
Chino,415
Humboldt,1040
Rhinebeck,1916
Ruston,1977
La Crosse,1155
Winston-Salem,2540
Scarsdale,2069
St. James,2197
Rockmart,1951
Waupaca,2442
Waynesville,2449
Kalona,1105
Laurinburg,1205
Virginia,2385
Colchester,448
Lake Orion,1182
Burton,302
Fair Oaks,714
Delano,560
Kingwood,1136
Northumberland,1659
Provo,1856
Glassboro,859
New Athens,1575
Stamford,2202
Lenoir,1226
Buffalo Grove,287
Egg Harbor Township,649
South St. Paul,2157
Midlothian Turnpike,1438
Bluffton,207
Altus,41
Satillo,2062
Fond Du Lac,762
Blaine,193
Sulphur Springs,2238
Sheridan,2102
Lennox,1225
Douglasville,590
Yorksville,2573
Mundelein,1529
Flint,755
INDIANOLA,1056
Ozark,1736
Commerce City,465
El Dorado,652
Mount Juliet,1511
DALTON,519
Harbinger,956
Thornton,2299
Redmond,1905
Strasburg,2225
Land O Lakes,1191
Ridgewood,1925
Mentor,1407
Quarryville,1865
Centerville,377
Burleson,295
Derry,573
Saint Louis,2009
Saratoga Springs,2061
Belair,148
Valparaiso,2362
Ceres,378
Lansdale,1195
South Saint Paul,2156
Middle Village,1430
Carol Stream,348
Lemont,1224
Mount Carroll,1508
Roanoke Rapids,1939
Foley,760
Issaquah,1075
Rancho Cordova,1885
North Hills,1636
Chickasha,408
Elizabethtown,663
PLYMOUTH MEETING,1746
Blairsville,195
Adamsburg,12
El Reno,656
Knightdale,1143
Billerica,185
anchorage,2590
Elmwood Park,678
Hickory Hills,1001
Chesterton,404
Upper Marlboro,2349
Pilot Point,1802
Los Lunas,1287
Marshfield,1365
Ormond Beach,1720
Taneytown,2274
Garfield,843
Elk Grove Village,665
Isanti,1074
Wentzville,2456
Cuyahoga Falls,516
Cheshire,400
Glenolden,870
Cincinnnati,422
Burr Ridge,301
Moses Lake,1503
Colton,459
Delran,563
Lenoir City,1227
Willowbrook,2527
Hutto,1053
NEW HAMPTON,1546
Roselle,1964
Coolidge,472
Shippensburg,2106
St. Charles,2194
Murphy,1531
Republic,1913
Shelby Township,2099
Oakland Park,1684
Santa Clarita,2053
Courtland,494
Hamilton Square,949
Owensboro,1732
WINTER HAVEN,2395
CHARLESTON,309
Gilmer,855
Newport Beach,1605
Byron,305
Beckley,144
San Bernardino,2028
Algonquin,33
Lake Elmo,1175
Lyndhurst,1305
Forest Park,770
Adel,14
Londonderry,1276
Henrietta,994
Carey,343
TULSA,2264
Lake Havasu,1177
Eastpointe,637
Ottawa Lake,1728
Platte City,1816
Machesney Park,1319
Attleboro,88
Schererville,2072
Kent,1125
Morgantown,1495
Moline,1468
The Dalles,2293
Gardendale,841
Bridgeview,252
Martinsburg,1368
Albion,27
Williamson,2519
LaBelle,1163
Saint Petersburg,2013
Camp Verde,329
Pahrump,1751
Bay Minette,133
Buckhannon,279
New York,1595
Wesley Chapel,2458
Wickliffe,2515
HARVEY,936
Mission Hills,1461
Grand Junction,891
Half Moon Bay,946
Tallassee,2270
Redford,1903
Fort Scott,781
Warwick,2425
Graniteville,896
Zebulon,2585
Millsboro,1447
Red Bud,1900
Point Pleasant,1825
Fernley,742
Montrose,1483
Muscle Shoals,1535
South Amboy,2141
Upland,2348
Seaside,2080
Cedartown,375
Kerrville,1127
Tinton Falls,2306
McMinnville,1391
North Scottsdale,1652
Pittsboro,1806
Wylie,2564
Washougal,2428
Norco,1617
Texas City,2291
De Soto,549
Apache Junction,65
Vincennes,2381
Raytown,1897
Thomson,2297
Colusa,462
Oregon,1715
BAY SHORE,100
Porterville,1842
Lomira,1272
GRIFFIN,828
Wauchula,2438
Gallatin,834
South Bend,2142
Elba,657
Page,1750
Oroville,1721
Lunenburg,1300
Sunland,2243
BRIGHAM CITY,107
Mcminnville,1396
Moab,1465
Brewster,247
Forsyth,771
Buckner,280
Pineville,1805
La Grande,1157
Flowood,759
Minden,1452
Avon Park,97
Redwood City,1908
Lake Havasu City,1178
Gaston,846
Northglenn,1658
Fitchburg,749
City of Industry,425
Amory,50
Charles Town,386
DAPHNE,521
Globe,874
Ellisville,674
Bothell,220
Rancho Santa Margarita,1888
Huntley,1048
Fostoria,788
New Haven,1584
Crystal Springs,511
Marengo,1350
Sparta,2166
Narragansett,1558
North Haven,1635
Beverly,182
Canby,333
Forest Grove,767
Rockaway,1946
Caledonia,321
Rockingham,1948
Turnersville,2334
Southampton,2159
Peotone,1789
Saugus,2063
Bullhead City,289
Cedar Hill,370
Royston,1973
Jerseyville,1089
Mahwah,1325
Melrose Park,1404
Grass Valley,899
Dripping Springs,598
Needham Heights,1567
Manassas Park,1334
Mount Dora,1509
Sherman Oaks,2104
New London,1586
Manteca,1344
NASHVILLE,1545
Hackensack,940
Cortlandt,485
Arden,73
Hubbard,1036
Virden,2383
Trussville,2325
Durant,613
Braintree,233
Gridley,925
Lanham,1194
Ft Myers,811
Locust Grove,1266
Dickson,581
Northbrook,1656
Chambersburg,380
Richfield,1919
Bridgewater,253
Ft Myers Beach,812
Aiea,16
Summit,2240
Leonardtown,1229
Frazer,798
Stoneham,2221
Downtingtown,595
Gautier,848
Fall River,725
Woodland Hills,2554
Morrisville,1498
Paterson,1778
Wytheville,2565
Madras,1324
Morgan,1493
Gallup,835
Norton,1660
Silverthorne,2119
Kingston,1135
Waseca,2426
Edgewater Park,642
Caldwell,320
Sevierville,2091
Downey,593
SHREWSBURY,1988
Santa Paula,2058
DFW Airport,525
Beachwood,138
Star Valley,2205
TYLER,2265
Fort Washington,785
Gettysburg,852
Marianna,1352
Hillsborough,1010
Elizabethton,662
Havelock,972
CHESTER,311
Kennewick,1122
Versailles,2373
Bogart,211
Crete,503
Elkton,669
Bryan,277
Port Lavaca,1834
Wartburg,2424
White Oak,2505
Bangor,119
Exeter,708
Broomall,270
Belford,150
Hardeeville,957
Green Valley,908
Anoka,62
Crest hill,500
Angleton,56
Mt Dora,1519
Ripley,1930
Channahon,383
Reynoldsburg,1915
Pleasant Hill,1820
Brookings,265
Midvale,1439
Branson West,238
Rugby,1974
Saint George,2005
Fife,745
Silsbee,2116
Corte Madera,484
Newtown,1608
North Bethesda,1627
New Richmond,1591
Chesterfield,403
Saukville,2065
Rising Sun,1931
Newington,1602
Calumet City,324
Kensington,1124
Casper,358
Espanola,697
Benson,167
Niceville,1612
Wenatchee,2454
Hyannis,1054
Falmouth,730
Holly Springs,1023
Pullman,1858
West Monroe,2474
Woodbridge Township,2548
Pawleys Island,1780
Stone Park,2220
Lawrenceburg,1209
Old Saybrook,1700
Elk River,666
Saline,2018
E. Providence,616
Lewisburg,1232
Brownfield,272
Eugene,700
Albuqueque,28
Essington,698
Porter,1841
District Heights,584
Ravena,1893
Payson,1781
Lynwood,1309
Alton,40
Niagara Falls,1610
Enumclaw,693
Henrico,993
Wheatland,2501
CATONSVILLE,308
Dillsburg,582
Marrieta,1362
SUGAR LAND,1993
Putnam,1862
Oneonta,1705
Spring Hill,2178
Cottonwood,490
Santa Barbara,2051
Orchard Park,1714
Bridgeport,250
Providence,1855
Shoreline,2107
Castle Rock,360
Gladewater,857
Moyock,1517
Youngsville,2577
fredericksburg,2592
Des Plains,576
Grimes,927
Encino,686
Medway,1402
Belfast,149
Park City,1770
Mcallen,1393
Hammond,951
Orwell,1723
Burnsville,300
New Carrollton,1582
Yulee,2581
Bethel Park,179
West Jordan,2471
Claremont,427
West Simsbury,2481
North Bend,1626
East Rochester,631
Troutman,2323
Palm Beach Gardens,1756
Amelia,44
New Windsor,1594
Blue Ridge,204
South Charleston,2144
Kaneohe,1106
Anacortes,52
Kokomo,1145
HOUSTON,938
Sylacauga,2256
Spring City,2177
Mt. Pleasant,1523
Mount Prospect,1514
TACOMA,2260
Tujunga,2328
Rockland,1949
Yutan,2583
Sylacuaga,2257
NORTH HAVEN,1551
WACO,2389
West Chicago,2467
North Phoenix,1646
Feasterville,737
Nazareth,1566
Lehigh Acres,1222
Dalton,533
Purcellville,1861
Pleasant Grove,1819
San Ramon,2044
Kearny,1113
Berthoud,175
Spotsylvania,2174
Salina,2016
Warrington,2421
Perry,1791
Willow Grove,2526
Redding,1902
Dorchester,588
Normal,1621
Fairlawn,721
Hadley,942
NEWPORT BEACH,1548
Bessemer,177
Highland Springs,1007
RIVERSIDE,1876
St Paul,2190
Moss Point,1504
St Augustine,2185
Wayland,2447
Petersburg,1796
Big Stone Gap,184
Waldoboro,2405
GARDEN GROVE,823
Hoffman Estates,1018
Westerly,2488
Liburn,1240
Brick Town,249
West Point,2478
Baldwin,115
McAllen,1384
Hempstead,990
South Haven,2150
Albermarle,24
Salsibury,2020
Atmore,87
Oak Harbor,1675
Lincolnton,1247
Edgewood,643
Mounds View,1506
marietta,2594
ESCONDIDO,618
WEST CHESTER,2392
Stratford,2226
Turnwater,2335
Shallotte,2094
Stillwater,2216
Prince George,1853
Mine Hill,1453
Jupiter,1098
Mars,1363
Lavonia,1206
Huntington Park,1045
Playa Vista,1818
Ludington,1296
Yucca Valley,2580
Hastings,970
Port Saint Lucie,1837
Cedar Lake,372
Methuen,1419
RALEIGH,1869
Ravenel,1894
Broken Bow,260
Hainesport,945
Carlock,345
Mairetta,1326
Chiefland,411
Jenkintown,1086
Manistee,1340
VENICE,2353
Crystal,508
New Bethlehem,1578
Merritt Island,1415
Cicero,420
Malta,1329
Niles,1614
Bloomingdale,200
Massapequa,1373
Kannapolis,1107
SYLVANIA,1995
Janesville,1081
Perkasie,1790
Middleburg Heights,1431
Farmingdale,733
La Mesa,1160
Braddock Heights,230
Wilton,2532
South Hackensack,2149
Gloucester,875
El Mirage,653
Ennis,691
Roxboro,1970
Milaca,1442
Spring Valley,2179
Uniontown,2346
Yorba Linda,2571
Clayton,432
GARDENA,824
Childersburg,412
Chula Vista,419
Fairburn,717
Watsonville,2437
WILMINGTON,2393
Taunton,2277
DeLand,550
Canoga Park,335
South Holland,2151
Stockbridge,2217
Front Royal,809
Redondo Bch,1906
St Charles,2186
South Burlington,2143
Silver City,2117
Beaufort,139
Kenmore,1119
Saltillo,2023
Wauwatosa,2444
NORWOOD,1552
Miramar,1458
Council Bluffs,491
Liverpool,1261
Alexander City,31
Montpelier,1482
Westbury,2487
Rolling Meadows,1959
Statesville,2210
Sinking Spring,2122
Bay Shore,134
Lighthouse Point,1241
ST. LOUIS,1991
Willoughby,2524
Spruce Pine,2184
Sidney,2112
Mamaroneck,1330
OZONE PARK,1674
Castro Valley,362
Wellesley,2453
McCook,1385
Deerfield,555
Delta,565
Woodbury Heights,2550
Mission Viejo,1462
Kaysville,1111
Swainton,2249
Festus,744
Tiverton,2308
Swedesboro,2254
Mascoutah,1372
Pen Argyl,1785
Natick,1562
Cascade,357
Simsbury,2121
Whippany,2503
Bernardsville,174
Chestrland,405
MADISON,1310
Beaver Springs,141
Newtown Square,1609
Austell,93
victorville,2597
Lynbrook,1304
North Conway,1631
North Sussex,1653
Seminole,2089
Pennsauken,1786
Painted Post,1753
LA HABRA,1148
New Carlisle,1581
Phenix City,1798
GASTONIA,826
Sodus,2135
Marrero,1361
O'FALLON,1667
Sicklerville,2111
beverly,2591
SPRING VALLEY,1989
Waterloo,2434
DAVIE,523
Goshen,884
OSSEO,1673
Buena Vista,285
Hialeah Gardens,998
Okeechobee,1693
Ellington,673
Wheat Ridge,2500
Raritan Township,1892
Brenham,244
LOVELAND,1153
West Scaramento,2479
SEGUIN,1984
Clewiston,437
Covina,495
Skokie,2125
Moultrie,1505
WOODSBORO,2397
Dunnellon,611
HARDEEVILLE,935
SPRINGFIELD,1990
East Landsdowne,627
Falconer,724
Baldwinsville,116
Towson,2318
WESLEY CHAPEL,2391
McLean,1390
Marlboro,1356
Chelmsford,395
Mt. Kisco,1522
New Canaan,1580
AVON,4
PEORIA,1740
UPPER SADDLE RIVER,2343
MIDLOTHIAN,1314
Willimantic,2522
Exton,709
KEYPORT,1101
Miami Shores,1425
PENSACOLA,1739
Chowchilla,416
Catskill,366
Broomfield,271
Reedley,1909
North Grafton,1633
HUNTINGTON BEACH,939
Calumet,323
KANSAS CITY,1100
Aiken,17
Colfax,449
FOOTHILL RANCH,712
Buellton,283
Forest Hills,768
Brandywine,235
Mongaup Valley,1470
Laguna Hills,1169
PASCAGOULA,1737
Maplewood,1348
Gulf Breeze,930
Scarborough,2068
PORTLAND,1747
Grafton,886
Tullahoma,2330
Trenton,2320
North Kansas City,1639
Armona,78
Painesville,1752
Metropolis,1420
Jeannette,1084
Dadeville,530
CINCINNATI,312
EAST PETERSBURG,617
Portales,1840
Franklin Square,797
READING,1870
BRONX,111
New Prague,1590
Clinton Twp,440
Holland,1021
Hummels Wharf,1041
Syosset,2258
Willoughby Hills,2525
Lehi,1221
Miami Beach,1422
Richmond hill,1923
Clarksburg,429
Camarillo,325
Royersford,1972
Townsend,2317
TOMS RIVER,2262
Harriman,961
Boston,219
Bellerose,155
Stratham,2227
Redondo Beach,1907
Goldens Bridge,878
Elmsford,677
Alsip,38
Moonachie,1486
Springfield Gardens,2182
CARY,307
Boxborough,227
North Reading,1648
Ocean Springs,1686
Dania Beach,536
San Gabriel,2035
Weslaco,2457
WAPPINGERS FALLS,2390
Westwood,2497
Hellertown,987
Spicewood,2171
HANOVER,934
Gibsonton,853
San Carlos,2030
Lincolnwood,1248
Mauldin,1379
Greenland,914
Perth Amboy,1793
MONMOUTH JUNCTION,1316
STERLING,1992
Irwindale,1073
Lomita,1273
CHARLOTTESVILLE,310
Coral Gables,476
Newburyport,1600
Mays Landing,1382
NEWARK,1547
South Lake Tahoe,2153
San Clemente,2031
New Bedford,1576
Rancho Mirage,1887
RICHMOND,1875
La Puente,1161
BILLINGS,103
Long Island  City,1279
REDWOOD CITY,1871
South Chesterfield,2145
Eldridge,658
DANBURY,520
Lakeway,1188
SEATTLE,1983
Riverview,1935
Norristown,1623
Bala Cynwyd,114
Panama City Beach,1766
Greenwich,919
Seneca Falls,2090
Crystal River,510
Queensbury,1867
Colonial Heights,457
Pearl City,1782
Glen Cove,863
San Tan Valley,2045
Southborough,2161
IRVINE,1057
Dedham,554
BENTONVILLE,102
AKRON,0
NANUET,1543
FREEHOLD,713
MECHANICSBURG,1311
Bergenfield,171
Belmont,160
Weaverville,2451
Emerson,681
Monrovia,1475
HENDERSONVILLE,937
Richmond Hill,1922
Erwin,695
White River Junction,2507
BRIDGEWATER,106
Forest Lake,769
Pooler,1830
COLUMBUS,314
South Williamson,2158
National city,1564
Appleton,69
Chatsworth,390
Mount Horeb,1510
Glen Carbon,862
Westland,2492
St Petersburg,2192
SWISHER,1994
Ellenville,671
Brownstown,274
Camby,327
Seguin,2087
LOS ANGELES,1152
Palm Desert,1758
Vadnais Heights,2356
Howell,1035
MT. Juliet,1318
LITTLE FERRY,1151
Holly Hill,1022
Glen Ellyn,864
Woodhaven,2551
Louisa,1288
South Glens Falls,2148
Campbellsville,331
Lake Worth,1185
Studio City,2232
Mt Airy,1518
Chester Springs,402
Bennettsville,164
Manhasset,1337
Holbrook,1019
Eminence,682
Port Jervis,1833
MOBILE,1315
Williamston,2520
GARLAND,825
Ruidoso,1975
Sussex,2247
Secaucus,2083
Los Banos,1286
Northfield,1657
Huntington Valley,1047
Winslow,2538
